twitter_handle,party,house_or_senate
lisamurkowski,republican,senate
SenDanSullivan,republican,senate
SenDougJones,democrat,senate
SenShelby,republican,senate
JohnBoozman,republican,senate
SenTomCotton,republican,senate
SenMcSallyAZ,republican,senate
SenatorSinema,democrat,senate
SenFeinstein,democrat,senate
SenKamalaHarris,democrat,senate
SenatorBennet,democrat,senate
SenCoryGardner,republican,senate
SenBlumenthal,democrat,senate
SenMurphyOffice,democrat,senate
SenatorCarper,democrat,senate
ChrisCoons,democrat,senate
SenRubioPress,republican,senate
SenRickScott,republican,senate
Kloeffler,republican,senate
sendavidperdue,republican,senate
maziehirono,democrat,senate
SenBrianSchatz,democrat,senate
SenJoniErnst,republican,senate
ChuckGrassley,republican,senate
MikeCrapo,republican,senate
SenatorRisch,republican,senate
SenDuckworth,democrat,senate
SenatorDurbin,democrat,senate
SenatorBraun,republican,senate
SenToddYoung,republican,senate
JerryMoran,republican,senate
SenPatRoberts,republican,senate
SenateMajLdr,republican,senate
RandPaul,republican,senate
SenBillCassidy,republican,senate
SenJohnKennedy,republican,senate
SenMarkey,democrat,senate
SenWarren,democrat,senate
SenatorCardin,democrat,senate
ChrisVanHollen,democrat,senate
SenatorCollins,republican,senate
SenAngusKing,independent,senate
SenGaryPeters,democrat,senate
SenStabenow,democrat,senate
SenAmyKlobuchar,democrat,senate
SenTinaSmith,democrat,senate
RoyBlunt,republican,senate
SenHawleyPress,republican,senate
SenHydeSmith,republican,senate
SenatorWicker,republican,senate
SteveDaines,republican,senate
SenatorTester,democrat,senate
SenatorBurr,republican,senate
SenThomTillis,republican,senate
SenKevinCramer,republican,senate
SenJohnHoeven,republican,senate
SenatorFischer,republican,senate
SenSasse,republican,senate
SenatorHassan,democrat,senate
SenatorShaheen,democrat,senate
SenBooker,democrat,senate
SenatorMenendez,democrat,senate
MartinHeinrich,democrat,senate
SenatorTomUdall,democrat,senate
SenCortezMasto,democrat,senate
SenJackyRosen,democrat,senate
gillibrandny,democrat,senate
SenSchumer,democrat,senate
SenSherrodBrown,democrat,senate
senrobportman,republican,senate
JimInhofe,republican,senate
SenatorLankford,republican,senate
SenJeffMerkley,democrat,senate
RonWyden,democrat,senate
SenBobCasey,democrat,senate
SenToomey,republican,senate
SenJackReed,democrat,senate
SenWhitehouse,democrat,senate
LindseyGrahamSC,republican,senate
SenatorTimScott,republican,senate
SenatorRounds,republican,senate
SenJohnThune,republican,senate
SenAlexander,republican,senate
MarshaBlackburn,republican,senate
JohnCornyn,republican,senate
SenTedCruz,republican,senate
SenMikeLee,republican,senate
SenatorRomney,republican,senate
N/A,democrat,senate
MarkWarner,democrat,senate
SenatorLeahy,democrat,senate
SenSanders,independent,senate
SenatorCantwell,democrat,senate
PattyMurray,democrat,senate
SenatorBaldwin,democrat,senate
SenRonJohnson,republican,senate
SenCapito,republican,senate
Sen_JoeManchin,democrat,senate
SenJohnBarrasso,republican,senate
SenatorEnzi,republican,senate
repdonyoung,republican,house
RepByrne,republican,house
RepMarthaRoby,republican,house
RepMikeRogersAL,republican,house
Robert_Aderholt,republican,house
RepMoBrooks,republican,house
USRepGaryPalmer,republican,house
RepTerriSewell,democrat,house
RepRickCrawford,republican,house
RepFrenchHill,republican,house
rep_stevewomack,republican,house
RepWesterman,republican,house
RepOHalleran,democrat,house
RepKirkpatrick,democrat,house
RepRaulGrijalva,democrat,house
RepGosar,republican,house
RepAndyBiggsAZ,republican,house
RepDavid,republican,house
RepRubenGallego,democrat,house
RepDLesko,republican,house
RepGregStanton,democrat,house
RepLaMalfa,republican,house
RepHuffman,democrat,house
RepGaramendi,democrat,house
RepMcClintock,republican,house
RepThompson,democrat,house
DorisMatsui,democrat,house
RepBera,democrat,house
RepPaulCook,republican,house
RepMcNerney,democrat,house
RepJoshHarder,democrat,house
RepDeSaulnier,democrat,house
SpeakerPelosi,democrat,house
RepBarbaraLee,democrat,house
RepSpeier,democrat,house
RepSwalwell,democrat,house
RepJimCosta,democrat,house
RepRoKhanna,democrat,house
RepAnnaEshoo,democrat,house
RepZoeLofgren,democrat,house
RepJimmyPanetta,democrat,house
RepTjCox,democrat,house
RepDevinNunes,republican,house
GOPLeader,republican,house
RepCarbajal,democrat,house
MikeGarcia2020,republican,house
RepBrownley,democrat,house
RepJudyChu,democrat,house
RepAdamSchiff,democrat,house
RepCardenas,democrat,house
BradSherman,democrat,house
RepPeteAguilar,democrat,house
gracenapolitano,democrat,house
RepTedLieu,democrat,house
RepJimmyGomez,democrat,house
NormaJTorres,democrat,house
CongressmanRuiz,democrat,house
RepKarenBass,democrat,house
RepLindaSanchez,democrat,house
RepGilCisneros,democrat,house
RepRoybalAllard,democrat,house
RepMarkTakano,democrat,house
KenCalvert,republican,house
RepMaxineWaters,democrat,house
RepBarragan,democrat,house
RepKatiePorter,democrat,house
RepLouCorrea,democrat,house
RepLowenthal,democrat,house
RepHarley,democrat,house
RepMikeLevin,democrat,house
Rep_Hunter,republican,house
RepJuanVargas,democrat,house
RepScottPeters,democrat,house
RepSusanDavis,democrat,house
RepDianaDeGette,democrat,house
RepJoeNeguse,democrat,house
RepTipton,republican,house
RepKenBuck,republican,house
RepDLamborn,republican,house
RepJasonCrow,democrat,house
RepPerlmutter,democrat,house
RepJohnLarson,democrat,house
RepJoeCourtney,democrat,house
rosadelauro,democrat,house
jahimes,democrat,house
RepJahanaHayes,democrat,house
RepLBR,democrat,house
EleanorNorton,democrat,house
RepMattGaetz,republican,house
DrNealDunnFL2,republican,house
RepTedYoho,republican,house
RepRutherfordFL,republican,house
RepAlLawsonJr,democrat,house
RepMichaelWaltz,republican,house
RepStephMurphy,democrat,house
congbillposey,republican,house
RepDarrenSoto,democrat,house
RepValDemings,democrat,house
RepWebster,republican,house
RepGusBilirakis,republican,house
RepCharlieCrist,democrat,house
USRepKCastor,democrat,house
RossSpano,republican,house
VernBuchanan,republican,house
RepGregSteube,republican,house
RepBrianMast,republican,house
RepRooney,republican,house
RepHastingsFL,democrat,house
RepLoisFrankel,democrat,house
RepTedDeutch,democrat,house
RepDWStweets,democrat,house
RepWilson,democrat,house
MarioDB,republican,house
RepDMP,democrat,house
RepShalala,democrat,house
RepBuddyCarter,republican,house
SanfordBishop,democrat,house
RepDrewFerguson,republican,house
RepHankJohnson,democrat,house
repjohnlewis,democrat,house
RepLucyMcBath,democrat,house
RepRobWoodall,republican,house
AustinScottGA08,republican,house
RepDougCollins,republican,house
CongressmanHice,republican,house
RepLoudermilk,republican,house
RepRickAllen,republican,house
repdavidscott,democrat,house
RepTomGraves,republican,house
RepEdCase,democrat,house
TulsiPress,democrat,house
RepFinkenauer,democrat,house
daveloebsack,democrat,house
RepCindyAxne,democrat,house
N/A,republican,house
RepRussFulcher,republican,house
CongMikeSimpson,republican,house
RepBobbyRush,democrat,house
RepRobinKelly,democrat,house
RepLipinski,democrat,house
RepChuyGarcia,democrat,house
RepMikeQuigley,democrat,house
RepCasten,democrat,house
RepDannyDavis,democrat,house
CongressmanRaja,democrat,house
janschakowsky,democrat,house
RepSchneider,democrat,house
RepBillFoster,democrat,house
RepBost,republican,house
RodneyDavis,republican,house
RepUnderwood,democrat,house
RepShimkus,republican,house
RepKinzinger,republican,house
RepCheri,democrat,house
RepLaHood,republican,house
RepVisclosky,democrat,house
RepWalorski,republican,house
RepJimBanks,republican,house
RepJimBaird,republican,house
SusanWBrooks,republican,house
RepGregPence,republican,house
RepAndreCarson,democrat,house
RepLarryBucshon,republican,house
RepTrey,republican,house
N/A,republican,house
N/A,republican,house
RepDavids,democrat,house
RepRonEstes,republican,house
N/A,republican,house
RepGuthrie,republican,house
RepJohnYarmuth,democrat,house
RepThomasMassie,republican,house
RepHalRogers,republican,house
RepAndyBarr,republican,house
SteveScalise,republican,house
RepRichmond,democrat,house
RepClayHiggins,republican,house
RepMikeJohnson,republican,house
RepAbraham,republican,house
RepGarretGraves,republican,house
chelliepingree,democrat,house
RepGolden,democrat,house
RepAndyHarrisMD,republican,house
Call_Me_Dutch,democrat,house
RepSarbanes,democrat,house
RepAnthonyBrown,democrat,house
LeaderHoyer,democrat,house
RepDavidTrone,democrat,house
Mfume4Congress,democrat,house
RepRaskin,democrat,house
RepRichardNeal,democrat,house
RepMcGovern,democrat,house
RepLoriTrahan,democrat,house
RepJoeKennedy,democrat,house
RepKClark,democrat,house
teammoulton,democrat,house
RepPressley,democrat,house
RepStephenLynch,democrat,house
USRepKeating,democrat,house
RepJackBergman,republican,house
RepHuizenga,republican,house
justinamash,libertarian,house
RepMoolenaar,republican,house
RepDanKildee,democrat,house
RepFredUpton,republican,house
RepWalberg,republican,house
RepSlotkin,democrat,house
RepAndyLevin,democrat,house
RepPaulMitchell,republican,house
RepHaleyStevens,democrat,house
RepDebDingell,democrat,house
RepRashida,democrat,house
RepLawrence,democrat,house
RepHagedorn,republican,house
RepAngieCraig,democrat,house
RepDeanPhillips,democrat,house
BettyMcCollum04,democrat,house
Ilhan,democrat,house
RepTomEmmer,republican,house
N/A,democrat,house
RepPeteStauber,republican,house
LacyClayMO1,democrat,house
RepAnnWagner,republican,house
RepBlaine,republican,house
RepHartzler,republican,house
repcleaver,democrat,house
RepSamGraves,republican,house
USRepLong,republican,house
RepJasonSmith,republican,house
RepTrentKelly,republican,house
BennieGThompson,democrat,house
RepMichaelGuest,republican,house
CongPalazzo,republican,house
N/A,republican,house
GKButterfield,democrat,house
RepHolding,republican,house
RepGregMurphy,republican,house
RepDavidEPrice,democrat,house
virginiafoxx,republican,house
RepMarkWalker,republican,house
RepDavidRouzer,republican,house
RepRichHudson,republican,house
PatrickMcHenry,republican,house
RepMarkMeadows,republican,house
RepAdams,democrat,house
RepTedBudd,republican,house
RepArmstrongND,republican,house
JeffFortenberry,republican,house
RepDonBacon,republican,house
RepAdrianSmith,republican,house
RepChrisPappas,democrat,house
RepAnnieKuster,democrat,house
DonaldNorcross,democrat,house
CongressmanJVD,republican,house
RepAndyKimNJ,democrat,house
RepChrisSmith,republican,house
RepJoshG,democrat,house
FrankPallone,democrat,house
RepMalinowski,democrat,house
RepSires,democrat,house
BillPascrell,democrat,house
RepDonaldPayne,democrat,house
RepSherrill,democrat,house
RepBonnie,democrat,house
RepDebHaaland,democrat,house
RepTorresSmall,democrat,house
repbenraylujan,democrat,house
repdinatitus,democrat,house
MarkAmodeiNV2,republican,house
RepSusieLee,democrat,house
RepHorsford,democrat,house
RepLeeZeldin,republican,house
RepPeteKing,republican,house
RepTomSuozzi,democrat,house
RepKathleenRice,democrat,house
RepGregoryMeeks,democrat,house
RepGraceMeng,democrat,house
NydiaVelazquez,democrat,house
RepJeffries,democrat,house
RepYvetteClarke,democrat,house
RepJerryNadler,democrat,house
RepMaxRose,democrat,house
RepMaloney,democrat,house
RepEspaillat,democrat,house
RepAOC,democrat,house
RepJoseSerrano,democrat,house
RepEliotEngel,democrat,house
NitaLowey,democrat,house
RepSeanMaloney,democrat,house
repdelgado,democrat,house
RepPaulTonko,democrat,house
RepStefanik,republican,house
RepBrindisi,democrat,house
RepTomReed,republican,house
RepJohnKatko,republican,house
RepJoeMorelle,democrat,house
RepBrianHiggins,democrat,house
JacobsNY27,republican,house
RepSteveChabot,republican,house
RepBradWenstrup,republican,house
RepBeatty,democrat,house
Jim_Jordan,republican,house
boblatta,republican,house
RepBillJohnson,republican,house
RepBobGibbs,republican,house
WarrenDavidson,republican,house
RepMarcyKaptur,democrat,house
RepMikeTurner,republican,house
RepMarciaFudge,democrat,house
RepBalderson,republican,house
RepTimRyan,democrat,house
RepDaveJoyce,republican,house
RepSteveStivers,republican,house
RepAGonzalez,republican,house
repkevinhern,republican,house
RepMullin,republican,house
RepFrankLucas,republican,house
TomColeOK04,republican,house
RepKendraHorn,democrat,house
RepBonamici,democrat,house
repgregwalden,republican,house
repblumenauer,democrat,house
RepPeterDeFazio,democrat,house
RepSchrader,democrat,house
RepBrianFitz,republican,house
CongBoyle,democrat,house
RepDwightEvans,democrat,house
RepDean,democrat,house
RepMGS,democrat,house
RepHoulahan,democrat,house
RepSusanWild,democrat,house
RepCartwright,democrat,house
RepMeuser,republican,house
RepScottPerry,republican,house
RepSmucker,republican,house
RepFredKeller,republican,house
GReschenthaler,republican,house
CongressmanGT,republican,house
MikeKellyPA,democrat,house
RepConorLamb,democrat,house
USRepMikeDoyle,democrat,house
davidcicilline,democrat,house
JimLangevin,democrat,house
RepCunningham,democrat,house
RepJoeWilson,republican,house
RepJeffDuncan,republican,house
reptimmons,republican,house
RepRalphNorman,republican,house
WhipClyburn,democrat,house
RepTomRice,republican,house
RepDustyJohnson,republican,house
DrPhilRoe,republican,house
RepTimBurchett,republican,house
RepChuck,republican,house
DesJarlaisTN04,republican,house
repjimcooper,democrat,house
RepJohnRose,republican,house
RepMarkGreen,republican,house
RepDavidKustoff,republican,house
RepCohen,democrat,house
replouiegohmert,republican,house
RepDanCrenshaw,republican,house
RepVanTaylor,republican,house
RepRatcliffe,republican,house
RepLanceGooden,republican,house
RepRonWright,republican,house
RepFletcher,democrat,house
RepKevinBrady,republican,house
RepAlGreen,democrat,house
RepMcCaul,republican,house
ConawayTX11,republican,house
RepKayGranger,republican,house
MacTXPress,republican,house
TXRandy14,republican,house
RepGonzalez,democrat,house
RepEscobar,democrat,house
RepBillFlores,republican,house
JacksonLeeTX18,democrat,house
RepArrington,republican,house
JoaquinCastrotx,democrat,house
RepChipRoy,republican,house
RepPeteOlson,republican,house
HurdOnTheHill,republican,house
RepKenMarchant,republican,house
RepRWilliams,republican,house
michaelcburgess,republican,house
RepCloudTX,republican,house
RepCuellar,democrat,house
RepSylviaGarcia,democrat,house
RepEBJ,democrat,house
JudgeCarter,republican,house
RepColinAllred,democrat,house
RepVeasey,democrat,house
RepFilemonVela,democrat,house
RepLloydDoggett,democrat,house
RepBrianBabin,republican,house
RepRobBishop,republican,house
RepChrisStewart,republican,house
RepJohnCurtis,republican,house
RepBenMcAdams,democrat,house
RobWittman,republican,house
RepElaineLuria,democrat,house
BobbyScott,democrat,house
RepMcEachin,democrat,house
RepRiggleman,republican,house
RepBenCline,republican,house
RepSpanberger,democrat,house
RepDonBeyer,democrat,house
RepMGriffith,republican,house
RepWexton,democrat,house
GerryConnolly,democrat,house
PeterWelch,democrat,house
RepDelBene,democrat,house
RepRickLarsen,democrat,house
HerreraBeutler,republican,house
RepNewhouse,republican,house
cathymcmorris,republican,house
RepDerekKilmer,democrat,house
RepJayapal,democrat,house
RepKimSchrier,democrat,house
RepAdamSmith,democrat,house
RepDennyHeck,democrat,house
RepBryanSteil,republican,house
repmarkpocan,democrat,house
RepRonKind,democrat,house
RepGwenMoore,democrat,house
JimPressOffice,republican,house
RepGrothman,republican,house
TomTiffanyWI,republican,house
RepGallagher,republican,house
RepMcKinley,republican,house
RepAlexMooney,republican,house
RepCarolMiller,republican,house
RepLizCheney,republican,house
